3MUT-Fc,3MUT-Fc,3MUT-Fc,3MUT-Fc,rhIgG-Fc,rhIgG-Fc,rhIgG-Fc,rhIgG-Fc,3MUT-Fc,3MUT-Fc,3MUT-Fc,3MUT-Fc,rhIgG-Fc,rhIgG-Fc,rhIgG-Fc,rhIgG-Fc,3MUT-Fc,3MUT-Fc,3MUT-Fc,3MUT-Fc,rhIgG-Fc,rhIgG-Fc,rhIgG-Fc,rhIgG-Fc
FUM,FUM,FUM,FUM,FUM,FUM,FUM,FUM,FUM,FUM,FUM,FUM,FUM,FUM,FUM,FUM,FUM,FUM,FUM,FUM,FUM,FUM,FUM,FUM
3MUT-Fc,3MUT-Fc,3MUT-Fc,3MUT-Fc,rhIgG-Fc,rhIgG-Fc,rhIgG-Fc,rhIgG-Fc,3MUT-Fc,3MUT-Fc,3MUT-Fc,3MUT-Fc,rhIgG-Fc,rhIgG-Fc,rhIgG-Fc,rhIgG-Fc,3MUT-Fc,3MUT-Fc,3MUT-Fc,3MUT-Fc,rhIgG-Fc,rhIgG-Fc,rhIgG-Fc,rhIgG-Fc
3MUT-Fc,3MUT-Fc,3MUT-Fc,3MUT-Fc,rhIgG-Fc,rhIgG-Fc,rhIgG-Fc,rhIgG-Fc,3MUT-Fc,3MUT-Fc,3MUT-Fc,3MUT-Fc,rhIgG-Fc,rhIgG-Fc,rhIgG-Fc,rhIgG-Fc,3MUT-Fc,3MUT-Fc,3MUT-Fc,3MUT-Fc,rhIgG-Fc,rhIgG-Fc,rhIgG-Fc,rhIgG-Fc
3MUT-Fc,3MUT-Fc,3MUT-Fc,3MUT-Fc,rhIgG-Fc,rhIgG-Fc,rhIgG-Fc,rhIgG-Fc,3MUT-Fc,3MUT-Fc,3MUT-Fc,3MUT-Fc,rhIgG-Fc,rhIgG-Fc,rhIgG-Fc,rhIgG-Fc,3MUT-Fc,3MUT-Fc,3MUT-Fc,3MUT-Fc,rhIgG-Fc,rhIgG-Fc,rhIgG-Fc,rhIgG-Fc
3MUT-Fc,3MUT-Fc,3MUT-Fc,3MUT-Fc,rhIgG-Fc,rhIgG-Fc,rhIgG-Fc,rhIgG-Fc,3MUT-Fc,3MUT-Fc,3MUT-Fc,3MUT-Fc,rhIgG-Fc,rhIgG-Fc,rhIgG-Fc,rhIgG-Fc,3MUT-Fc,3MUT-Fc,3MUT-Fc,3MUT-Fc,rhIgG-Fc,rhIgG-Fc,rhIgG-Fc,rhIgG-Fc
3MUT-Fc,3MUT-Fc,3MUT-Fc,3MUT-Fc,rhIgG-Fc,rhIgG-Fc,rhIgG-Fc,rhIgG-Fc,3MUT-Fc,3MUT-Fc,3MUT-Fc,3MUT-Fc,rhIgG-Fc,rhIgG-Fc,rhIgG-Fc,rhIgG-Fc,3MUT-Fc,3MUT-Fc,3MUT-Fc,3MUT-Fc,rhIgG-Fc,rhIgG-Fc,rhIgG-Fc,rhIgG-Fc
3MUT-Fc,3MUT-Fc,3MUT-Fc,3MUT-Fc,rhIgG-Fc,rhIgG-Fc,rhIgG-Fc,rhIgG-Fc,3MUT-Fc,3MUT-Fc,3MUT-Fc,3MUT-Fc,rhIgG-Fc,rhIgG-Fc,rhIgG-Fc,rhIgG-Fc,3MUT-Fc,3MUT-Fc,3MUT-Fc,3MUT-Fc,rhIgG-Fc,rhIgG-Fc,rhIgG-Fc,rhIgG-Fc
3MUT-Fc,3MUT-Fc,3MUT-Fc,3MUT-Fc,rhIgG-Fc,rhIgG-Fc,rhIgG-Fc,rhIgG-Fc,3MUT-Fc,3MUT-Fc,3MUT-Fc,3MUT-Fc,rhIgG-Fc,rhIgG-Fc,rhIgG-Fc,rhIgG-Fc,3MUT-Fc,3MUT-Fc,3MUT-Fc,3MUT-Fc,rhIgG-Fc,rhIgG-Fc,rhIgG-Fc,rhIgG-Fc
3MUT-Fc,3MUT-Fc,3MUT-Fc,3MUT-Fc,rhIgG-Fc,rhIgG-Fc,rhIgG-Fc,rhIgG-Fc,3MUT-Fc,3MUT-Fc,3MUT-Fc,3MUT-Fc,rhIgG-Fc,rhIgG-Fc,rhIgG-Fc,rhIgG-Fc,3MUT-Fc,3MUT-Fc,3MUT-Fc,3MUT-Fc,rhIgG-Fc,rhIgG-Fc,rhIgG-Fc,rhIgG-Fc
